datetime,symbol,open,high,low,close,volume
2025-09-30 12:15:00,MCX:GOLD1!,117720.0,117739.0,117345.0,117380.0,603.0
2025-09-30 12:30:00,MCX:GOLD1!,117382.0,117460.0,117201.0,117270.0,814.0
2025-09-30 12:45:00,MCX:GOLD1!,117277.0,117372.0,117160.0,117247.0,299.0
2025-09-30 13:00:00,MCX:GOLD1!,117269.0,117331.0,117124.0,117160.0,365.0
2025-09-30 13:15:00,MCX:GOLD1!,117168.0,117211.0,116922.0,116998.0,545.0
2025-09-30 13:30:00,MCX:GOLD1!,117000.0,117088.0,116602.0,116799.0,554.0
2025-09-30 13:45:00,MCX:GOLD1!,116813.0,116813.0,116254.0,116348.0,869.0
2025-09-30 14:00:00,MCX:GOLD1!,116329.0,116329.0,115788.0,116082.0,1322.0
2025-09-30 14:15:00,MCX:GOLD1!,116090.0,116289.0,116084.0,116124.0,546.0
2025-09-30 14:30:00,MCX:GOLD1!,116119.0,116266.0,115582.0,115632.0,641.0
2025-09-30 14:45:00,MCX:GOLD1!,115627.0,115844.0,115609.0,115707.0,535.0
2025-09-30 15:00:00,MCX:GOLD1!,115700.0,115868.0,115680.0,115737.0,542.0
2025-09-30 15:15:00,MCX:GOLD1!,115720.0,115745.0,115460.0,115669.0,589.0
2025-09-30 15:30:00,MCX:GOLD1!,115674.0,115933.0,115659.0,115809.0,440.0
2025-09-30 15:45:00,MCX:GOLD1!,115813.0,116059.0,115813.0,115883.0,436.0
2025-09-30 16:00:00,MCX:GOLD1!,115870.0,116144.0,115860.0,116120.0,334.0
2025-09-30 16:15:00,MCX:GOLD1!,116120.0,116283.0,116108.0,116200.0,415.0
2025-09-30 16:30:00,MCX:GOLD1!,116200.0,116215.0,116000.0,116004.0,341.0
2025-09-30 16:45:00,MCX:GOLD1!,116007.0,116128.0,115911.0,116116.0,222.0
2025-09-30 17:00:00,MCX:GOLD1!,116127.0,116358.0,116084.0,116281.0,349.0
2025-09-30 17:15:00,MCX:GOLD1!,116258.0,116319.0,116184.0,116240.0,275.0
2025-09-30 17:30:00,MCX:GOLD1!,116245.0,116252.0,116106.0,116236.0,243.0
2025-09-30 17:45:00,MCX:GOLD1!,116224.0,116247.0,116111.0,116198.0,140.0
2025-09-30 18:00:00,MCX:GOLD1!,116167.0,116290.0,116060.0,116123.0,257.0
2025-09-30 18:15:00,MCX:GOLD1!,116123.0,116474.0,116123.0,116385.0,485.0
2025-09-30 18:30:00,MCX:GOLD1!,116378.0,116411.0,116234.0,116323.0,264.0
2025-09-30 18:45:00,MCX:GOLD1!,116340.0,116423.0,116184.0,116271.0,292.0
2025-09-30 19:00:00,MCX:GOLD1!,116250.0,116550.0,116218.0,116550.0,277.0
2025-09-30 19:15:00,MCX:GOLD1!,116570.0,116762.0,116540.0,116568.0,682.0
2025-09-30 19:30:00,MCX:GOLD1!,116576.0,117300.0,116474.0,117186.0,895.0
2025-09-30 19:45:00,MCX:GOLD1!,117188.0,117389.0,117119.0,117147.0,704.0
2025-09-30 20:00:00,MCX:GOLD1!,117150.0,117339.0,117150.0,117339.0,352.0
2025-09-30 20:15:00,MCX:GOLD1!,117344.0,117451.0,117245.0,117435.0,380.0
2025-09-30 20:30:00,MCX:GOLD1!,117440.0,117441.0,116802.0,116868.0,925.0
2025-09-30 20:45:00,MCX:GOLD1!,116895.0,117073.0,116773.0,116929.0,444.0
2025-09-30 21:00:00,MCX:GOLD1!,116941.0,117123.0,116927.0,117090.0,372.0
2025-09-30 21:15:00,MCX:GOLD1!,117090.0,117131.0,117003.0,117094.0,169.0
2025-09-30 21:30:00,MCX:GOLD1!,117110.0,117227.0,117091.0,117200.0,174.0
2025-09-30 21:45:00,MCX:GOLD1!,117201.0,117250.0,117136.0,117209.0,157.0
2025-09-30 22:00:00,MCX:GOLD1!,117210.0,117237.0,117181.0,117230.0,137.0
2025-09-30 22:15:00,MCX:GOLD1!,117234.0,117299.0,117219.0,117279.0,148.0
2025-09-30 22:30:00,MCX:GOLD1!,117279.0,117296.0,117200.0,117249.0,118.0
2025-09-30 22:45:00,MCX:GOLD1!,117250.0,117351.0,117229.0,117282.0,256.0
2025-09-30 23:00:00,MCX:GOLD1!,117278.0,117350.0,117244.0,117312.0,176.0
2025-09-30 23:15:00,MCX:GOLD1!,117313.0,117320.0,117200.0,117233.0,294.0
2025-10-01 09:00:00,MCX:GOLD1!,117708.0,117800.0,117501.0,117730.0,686.0
2025-10-01 09:15:00,MCX:GOLD1!,117730.0,117750.0,117600.0,117612.0,456.0
2025-10-01 09:30:00,MCX:GOLD1!,117620.0,117700.0,117511.0,117611.0,265.0
2025-10-01 09:45:00,MCX:GOLD1!,117611.0,117665.0,117580.0,117627.0,73.0
2025-10-01 10:00:00,MCX:GOLD1!,117620.0,117620.0,117482.0,117544.0,170.0
2025-10-01 10:15:00,MCX:GOLD1!,117553.0,117660.0,117515.0,117660.0,359.0
2025-10-01 10:30:00,MCX:GOLD1!,117670.0,117745.0,117620.0,117640.0,245.0
2025-10-01 10:45:00,MCX:GOLD1!,117648.0,117715.0,117632.0,117650.0,128.0
2025-10-01 11:00:00,MCX:GOLD1!,117640.0,117650.0,117535.0,117535.0,159.0
