datetime,symbol,open,high,low,close,volume
2025-09-16 21:00:00,MCX:GOLD1!,110086.0,110100.0,110000.0,110026.0,273.0
2025-09-16 21:15:00,MCX:GOLD1!,110028.0,110210.0,110028.0,110190.0,167.0
2025-09-16 21:30:00,MCX:GOLD1!,110200.0,110221.0,110150.0,110215.0,66.0
2025-09-16 21:45:00,MCX:GOLD1!,110215.0,110287.0,110215.0,110279.0,94.0
2025-09-16 22:00:00,MCX:GOLD1!,110285.0,110290.0,110178.0,110178.0,113.0
2025-09-16 22:15:00,MCX:GOLD1!,110185.0,110286.0,110185.0,110269.0,102.0
2025-09-16 22:30:00,MCX:GOLD1!,110250.0,110271.0,110191.0,110195.0,37.0
2025-09-16 22:45:00,MCX:GOLD1!,110198.0,110231.0,110171.0,110190.0,37.0
2025-09-16 23:00:00,MCX:GOLD1!,110185.0,110227.0,110145.0,110174.0,79.0
2025-09-16 23:15:00,MCX:GOLD1!,110151.0,110190.0,110105.0,110110.0,200.0
2025-09-17 09:00:00,MCX:GOLD1!,109900.0,109956.0,109854.0,109899.0,446.0
2025-09-17 09:15:00,MCX:GOLD1!,109905.0,109918.0,109870.0,109890.0,165.0
2025-09-17 09:30:00,MCX:GOLD1!,109870.0,109870.0,109750.0,109776.0,251.0
2025-09-17 09:45:00,MCX:GOLD1!,109771.0,109798.0,109686.0,109742.0,139.0
2025-09-17 10:00:00,MCX:GOLD1!,109727.0,109793.0,109707.0,109785.0,101.0
2025-09-17 10:15:00,MCX:GOLD1!,109775.0,109782.0,109720.0,109720.0,62.0
2025-09-17 10:30:00,MCX:GOLD1!,109750.0,109865.0,109733.0,109816.0,126.0
2025-09-17 10:45:00,MCX:GOLD1!,109801.0,109803.0,109705.0,109721.0,111.0
2025-09-17 11:00:00,MCX:GOLD1!,109732.0,109770.0,109605.0,109690.0,185.0
2025-09-17 11:15:00,MCX:GOLD1!,109699.0,109719.0,109664.0,109698.0,85.0
2025-09-17 11:30:00,MCX:GOLD1!,109700.0,109700.0,109570.0,109600.0,137.0
2025-09-17 11:45:00,MCX:GOLD1!,109580.0,109650.0,109529.0,109550.0,302.0
2025-09-17 12:00:00,MCX:GOLD1!,109550.0,109569.0,109430.0,109438.0,389.0
2025-09-17 12:15:00,MCX:GOLD1!,109438.0,109580.0,109438.0,109550.0,156.0
2025-09-17 12:30:00,MCX:GOLD1!,109580.0,109600.0,109480.0,109501.0,137.0
2025-09-17 12:45:00,MCX:GOLD1!,109500.0,109521.0,109400.0,109426.0,139.0
2025-09-17 13:00:00,MCX:GOLD1!,109420.0,109492.0,109360.0,109451.0,180.0
2025-09-17 13:15:00,MCX:GOLD1!,109440.0,109452.0,109346.0,109355.0,157.0
2025-09-17 13:30:00,MCX:GOLD1!,109355.0,109381.0,109265.0,109295.0,202.0
2025-09-17 13:45:00,MCX:GOLD1!,109296.0,109314.0,109225.0,109298.0,283.0
2025-09-17 14:00:00,MCX:GOLD1!,109301.0,109330.0,109180.0,109212.0,158.0
2025-09-17 14:15:00,MCX:GOLD1!,109212.0,109276.0,109212.0,109243.0,81.0
2025-09-17 14:30:00,MCX:GOLD1!,109241.0,109362.0,109207.0,109353.0,91.0
2025-09-17 14:45:00,MCX:GOLD1!,109350.0,109435.0,109350.0,109389.0,173.0
2025-09-17 15:00:00,MCX:GOLD1!,109389.0,109389.0,109308.0,109350.0,200.0
2025-09-17 15:15:00,MCX:GOLD1!,109372.0,109401.0,109350.0,109384.0,92.0
2025-09-17 15:30:00,MCX:GOLD1!,109365.0,109405.0,109205.0,109290.0,214.0
2025-09-17 15:45:00,MCX:GOLD1!,109300.0,109397.0,109288.0,109333.0,121.0
2025-09-17 16:00:00,MCX:GOLD1!,109355.0,109370.0,109300.0,109350.0,29.0
2025-09-17 16:15:00,MCX:GOLD1!,109350.0,109360.0,109220.0,109225.0,136.0
2025-09-17 16:30:00,MCX:GOLD1!,109232.0,109280.0,109191.0,109227.0,151.0
2025-09-17 16:45:00,MCX:GOLD1!,109238.0,109396.0,109238.0,109370.0,148.0
